Hero Name,Role,Pick Rate (%),Win Rate (%),Rank,
Iron Fist,Duelist,2.11,52.23,Platinum,
Daredevil,Duelist,1.94,53.84,Platinum,
Ultron,Strategist,1.88,54.89,Platinum,
Storm,Duelist,1.48,56.08,Platinum,
Adam Warlock,Strategist,1.44,49.29,Platinum,
Blade,Duelist,1.36,46.83,Platinum,
Deadpool,Duelist,1.22,46.75,Platinum,
Black Widow,Duelist,0.95,37.3,Platinum,
Human Torch,Duelist,0.46,49.29,Platinum,
Cloak & Dagger,Strategist,28.16,50.16,Diamond,
Invisible Woman,Strategist,20.34,48.69,Diamond,
Doctor Strange,Vanguard,19.7,50.18,Diamond,
Magneto,Vanguard,16.84,49.45,Diamond,
Emma Frost,Vanguard,13.04,46.77,Diamond,
Moon Knight,Duelist,10.3,51.15,Diamond,
Rocket Raccoon,Strategist,9.98,54,Diamond,
Luna Snow,Strategist,9.82,45.1,Diamond,
Thor,Vanguard,9.51,53.23,Diamond,
Gambit,Strategist,9.41,51.71,Diamond,
Winter Soldier,Duelist,9.3,46.31,Diamond,
Namor,Duelist,8.91,48.39,Diamond,
The Punisher,Duelist,8.75,47.17,Diamond,
Groot,Vanguard,7.54,50.64,Diamond,
Jeff the Land Shark,Strategist,7.52,50.2,Diamond,
Phoenix,Duelist,7.02,48.44,Diamond,
The Thing,Vanguard,6.44,49.67,Diamond,
Hela,Duelist,6.32,52.12,Diamond,
Spider- Man,Duelist,5.98,52.2,Diamond,
Magik,Duelist,5.49,56.74,Diamond, 
Deadpool,Vanguard,5.12,51.92,Diamond,
Loki,Strategist,4.96,52.79,Diamond,
Deadpool,Strategist,4.86,41.8,Diamond,
Rogue,Vanguard,4.28,53.51,Diamond,
Squirrel Girl,Duelist,4.14,44.64,Diamond,
Hulk,Vanguard,4.01,55.87,Diamond,
Star-Lord,Duelist,3.89,50.52,Diamond,
Peni Parker,Vanguard,3.85,56.12,Diamond,
Angela,Vanguard,3.78,54.66,Diamond,
Venom,Vanguard,3.72,48.8,Diamond,
Psylocke,Duelist,3.53,50.52,Diamond,
Scarlet Witch,Duelist,3.11,47.99,Diamond,
Hawkeye,Duelist,2.83,53.08,Diamond,
Iron Fist,Duelist,2.82,52.27,Diamond,
Wolverine,Duelist,2.7,48.58,Diamond,
Iron Man,Duelist,2.59,50.4,Diamond,
Black Panther,Duelist,2.5,52.78,Diamond,
Daredevil,Duelist,2.38,55.4,Diamond,
Mister Fantastic,Duelist,2.19,51.19,Diamond,
