Hero Name,Role,Rank,Pick Rate,Win Rate,pick_norm,pick_z,win_z,hero_score
Hawkeye,Duelist,Gold,0.033,0.5239,0.7919547454431176,-0.2936943701766115,0.673519795315643,0.18991271256951575
Hulk,Vanguard,Gold,0.0268,0.5436,0.3484248874919637,-1.1069780669604226,1.2139499935338582,0.05348596328671784
Mantis,Strategist,Gold,0.0268,0.5402,0.29480421148873553,-0.8666292657042513,1.1565009778564939,0.1449358560761213
Captain America,Vanguard,Gold,0.0252,0.5165,0.32762340167154796,-1.142318257402556,0.16400011837030254,-0.48915906951612675
Ultron,Strategist,Gold,0.023799999999999998,0.5744,0.26180374005342927,-0.9071842077413402,2.1515119799106226,0.6221638860846412
Mister Fantastic,Duelist,Gold,0.0235,0.5328,0.5639677732700988,-0.6155401644651806,0.894746657193886,0.13960324636435273
Black Panther,Duelist,Gold,0.0195,0.5444,0.4679732586709331,-0.7510541831129991,1.1830872861587851,0.216016551522893
Daredevil,Duelist,Gold,0.019299999999999998,0.5476,0.46317353294097474,-0.7578298840453901,1.2626295286318605,0.2523998222932352
Iron Fist,Duelist,Gold,0.018000000000000002,0.5165,0.431975315696246,-0.801871940105931,0.489578359596653,-0.15614679025463898
Wolverine,Duelist,Gold,0.0175,0.4987,0.41997600137135027,-0.8188111924369084,0.04712463584016834,-0.38584327829837
Adam Warlock,Strategist,Gold,0.0165,0.5032,0.1815025928941842,-1.00586790003159,0.08002708674530118,-0.4629204066431444
Blade,Duelist,Gold,0.0139,0.47700000000000004,0.333580938232101,-0.9407738092199451,-0.4922711959303766,-0.7165225025751609
Deadpool,Duelist,Gold,0.013500000000000002,0.45909999999999995,0.32398148677218447,-0.9543252110847269,-0.9372106147641474,-0.9457679129244372
Storm,Duelist,Gold,0.0125,0.5575,0.299982858122393,-0.9882037157466815,1.5087133412829399,0.2602548127681292
Black Widow,Duelist,Gold,0.0087,0.4106,0.20878806925318552,-1.1169420334621092,-2.142772727246703,-1.629857380354406
Human Torch,Duelist,Gold,0.0049,0.4772,0.11759328038397805,-1.2456803511775367,-0.48729980577580995,-0.8664900784766734
Cloak & Dagger,Strategist,Platinum,0.2821,0.5033,3.103144330633295,2.5845963016520153,0.08293647564019598,1.3337663886461055
Invisible Woman,Strategist,Platinum,0.1844,0.488,2.028428977556822,1.263857022644153,-0.3622000252787557,0.45082849868269864
Doctor Strange,Vanguard,Platinum,0.1776,0.5052,2.3089649260661473,2.2238348822106446,-0.27380185909641885,0.9750165115571129
Magneto,Vanguard,Platinum,0.1489,0.4886,1.93583827416244,1.5899202161548778,-0.9169445870563827,0.33648781454924753
Emma Frost,Vanguard,Platinum,0.13470000000000001,0.47659999999999997,1.7512250875062505,1.2762760259809447,-1.381867041003345,-0.0527955075112001
Moon Knight,Duelist,Platinum,0.106,0.5123,2.5438546368778927,2.179436470146077,0.38517916635074123,1.2823078182484091
Gambit,Strategist,Platinum,0.1011,0.5125,1.1121158873698194,0.1377814654143173,0.35060025397054595,0.24419085969243162
Thor,Vanguard,Platinum,0.09820000000000001,0.5337,1.2766911922280162,0.4700779315197778,0.830388969027614,0.650233450273696
Rocket Raccoon,Strategist,Platinum,0.09369999999999999,0.5394,1.0307147244960642,0.03774594172283127,1.1332258666973323,0.5854859042100817
Luna Snow,Strategist,Platinum,0.092,0.4517,1.0120144573493906,0.014764807901814314,-1.4183081941256817,-0.7017716931119337
Jeff the Land Shark,Strategist,Platinum,0.0913,0.4861,1.0043143473478193,0.005301988093160338,-0.41747841428176324,-0.20608821309430145
The Punisher,Duelist,Platinum,0.0873,0.4744,2.095080281126793,1.5459084329675254,-0.556899267939752,0.49450458251388674
Namor,Duelist,Platinum,0.08439999999999999,0.49420000000000003,2.0254842580423973,1.4476607694478565,-0.06473164263759346,0.6914645634051315
Winter Soldier,Duelist,Platinum,0.0808,0.47090000000000004,1.9390891949031483,1.32569815266482,-0.6438985956446776,0.3408997785100712
Groot,Vanguard,Platinum,0.075,0.5042,0.9750696478319879,-0.04235482989115591,-0.3125453969253324,-0.17745011340824415
Phoenix,Duelist,Platinum,0.0698,0.475,1.6751042797554425,0.9530346013833192,-0.5419850974760505,0.20552475195363434
The Thing,Vanguard,Platinum,0.0632,0.5063,0.8216586899064219,-0.30298873440188906,-0.23118396748461442,-0.2670863509432517
Deadpool,Vanguard,Platinum,0.0613,0.5033,0.7969569254946781,-0.3449552105519226,-0.34741458097135497,-0.3461848957616388
Squirrel Girl,Duelist,Platinum,0.0611,0.4571,1.4663162105022571,0.6582916108243139,-0.9869245163098186,-0.16431645274275236
Hela,Duelist,Platinum,0.060700000000000004,0.5223,1.4567167590423404,0.6447402089595321,0.6337486740791038,0.6392444415193179
Deadpool,Strategist,Platinum,0.0604,0.44179999999999997,0.6644094915641652,-0.4124139148888555,-1.7063376947202984,-1.059375804804577
Rogue,Vanguard,Platinum,0.054400000000000004,0.5329999999999999,0.7072505178941353,-0.4973597818336225,0.8032684925473733,0.1529543553568754
Spider- Man,Duelist,Platinum,0.0536,0.5213,1.2863264956288212,0.40420282585965406,0.6088917233062676,0.5065472745829609
Peni Parker,Vanguard,Platinum,0.0535,0.5478000000000001,0.6955496821201513,-0.5172386389573226,1.3766728524152985,0.42971710672898794
Magik,Duelist,Platinum,0.0525,0.5748,1.2599280041140506,0.3669364707315038,1.9387385896530063,1.152837530192255
Scarlet Witch,Duelist,Platinum,0.0473,0.48960000000000004,1.135135135135135,0.19076824648933985,-0.17907361619263998,0.005847315148349935
Venom,Vanguard,Platinum,0.0417,0.47479999999999994,0.5421387241945853,-0.7778725434680559,-1.45160540909539,-1.114738976281723
Loki,Strategist,Platinum,0.0405,0.5139,0.44550636437663393,-0.6814283637348786,0.3913316984990795,-0.14504833261789954
Angela,Vanguard,Platinum,0.0385,0.5379999999999999,0.5005357525537538,-0.8485529243523227,0.996986181691941,0.07421662866980916
Psylocke,Duelist,Platinum,0.0364,0.498,0.8735500828524084,-0.1785074543259657,0.029724770299183512,-0.07439134201339109
Star-Lord,Duelist,Platinum,0.0362,0.4951,0.8687503571224502,-0.1852831552583566,-0.042360386942041924,-0.11382177110019925
Iron Man,Duelist,Platinum,0.0326,0.5025,0.7823552939832009,-0.3072457720413935,0.14158104877694533,-0.08283236163222407
Hulk,Vanguard,Platinum,0.030299999999999997,0.5496,0.39392813772412305,-1.029671400368256,1.4464112205073394,0.20836991006954164
Hawkeye,Duelist,Platinum,0.0262,0.5423,0.6287640706245358,-0.524068201877903,1.130887689535829,0.303409743828963
Mister Fantastic,Duelist,Platinum,0.025099999999999997,0.5232,0.6023655791097651,-0.5613345570060533,0.6561199297746568,0.047392686384301774
Wolverine,Duelist,Platinum,0.0227,0.49060000000000004,0.5447688703502658,-0.6426429681947442,-0.15421666541980372,-0.39842981680727396
Captain America,Vanguard,Platinum,0.0226,0.5018,0.29382098721337235,-1.1997460668710227,-0.4055298877147231,-0.8026379772928729
Black Panther,Duelist,Platinum,0.0223,0.5373,0.5351694188903491,-0.6561943700595261,1.0066029356716477,0.17520428280606082
Mantis,Strategist,Platinum,0.021400000000000002,0.5304,0.23540336290518438,-0.9396281613710114,0.8713808661567719,-0.03412364760711972
Iron Fist,Duelist,Platinum,0.021099999999999997,0.5223,0.5063710645105993,-0.6968485756538718,0.6337486740791038,-0.031549950787383985
Daredevil,Duelist,Platinum,0.0194,0.5384,0.46557339580595397,-0.7544420335791946,1.0339455815217675,0.13975177397128646
Ultron,Strategist,Platinum,0.018799999999999997,0.5489,0.20680295432791893,-0.9747757778031552,1.4096178117123699,0.21742101695460736
Storm,Duelist,Platinum,0.0148,0.5608,0.35517970401691334,-0.9102831550241859,1.5907412788332986,0.3402290619045564
Adam Warlock,Strategist,Platinum,0.0144,0.4929,0.15840226288946982,-1.0342563594575522,-0.21963996942889472,-0.6269481644432234
Blade,Duelist,Platinum,0.013600000000000001,0.4683,0.3263813496371636,-0.9509373606185315,-0.7085266676540529,-0.8297320141362923
Deadpool,Duelist,Platinum,0.012199999999999999,0.4675,0.29278326952745554,-0.998367267145268,-0.7284122282723211,-0.8633897477087946
Black Widow,Duelist,Platinum,0.0095,0.373,0.22798697217301866,-1.0898392297325454,-3.0773940763053464,-2.0836166530189457
Human Torch,Duelist,Platinum,0.0046,0.4929,0.11039369178904063,-1.2558439025761232,-0.09704567864228116,-0.6764447906092022
Cloak & Dagger,Strategist,Diamond,0.2816,0.5015999999999999,3.0976442520607437,2.577837144645834,0.033476864426978045,1.305657004536406
