Hero Name,Role,Rank,Pick Rate,Win Rate,hero_score,tier
Deadpool,Vanguard,Gold,0.0689,0.4901,-0.5179592931324007,C
Winter Soldier,Duelist,Gold,0.0681,0.48590000000000005,0.31219840470293125,A
Rogue,Vanguard,Gold,0.0676,0.5232,0.10888930556900084,B
Squirrel Girl,Duelist,Gold,0.0668,0.4636,0.013022375555536203,B
Phoenix,Duelist,Gold,0.0653,0.4782,0.16906923770077475,B
Hela,Duelist,Gold,0.0629,0.5236,0.6926678146498111,A
Deadpool,Strategist,Gold,0.0621,0.4594,-0.7918590151432984,C
The Thing,Vanguard,Gold,0.058499999999999996,0.5013000000000001,-0.41585110022741684,C
Scarlet Witch,Duelist,Gold,0.0582,0.48560000000000003,0.14077126401033016,B
Venom,Vanguard,Gold,0.055,0.4705,-1.0511549160887697,D
Magik,Duelist,Gold,0.0518,0.569,1.0688948963193454,S
Spider- Man,Duelist,Gold,0.0487,0.5329999999999999,0.5689581001822631,A
Iron Man,Duelist,Gold,0.0385,0.5075,0.07925160405263279,B
Angela,Vanguard,Gold,0.0384,0.532,-0.04311836576824596,B
Psylocke,Duelist,Gold,0.0384,0.48979999999999996,-0.14242633552006564,B
Star-Lord,Duelist,Gold,0.0378,0.4867,-0.19111816061654735,B
Loki,Strategist,Gold,0.0361,0.5052,-0.30134704037303617,C
Hawkeye,Duelist,Gold,0.033,0.5239,0.18991271256951575,B
Hulk,Vanguard,Gold,0.0268,0.5436,0.05348596328671784,B
Mantis,Strategist,Gold,0.0268,0.5402,0.1449358560761213,B
Captain America,Vanguard,Gold,0.0252,0.5165,-0.48915906951612675,C
Ultron,Strategist,Gold,0.023799999999999998,0.5744,0.6221638860846412,A
Mister Fantastic,Duelist,Gold,0.0235,0.5328,0.13960324636435273,B
Black Panther,Duelist,Gold,0.0195,0.5444,0.216016551522893,B
Daredevil,Duelist,Gold,0.019299999999999998,0.5476,0.2523998222932352,B
Iron Fist,Duelist,Gold,0.018000000000000002,0.5165,-0.15614679025463898,B
Wolverine,Duelist,Gold,0.0175,0.4987,-0.38584327829837,C
Adam Warlock,Strategist,Gold,0.0165,0.5032,-0.4629204066431444,C
Blade,Duelist,Gold,0.0139,0.47700000000000004,-0.7165225025751609,C
Deadpool,Duelist,Gold,0.013500000000000002,0.45909999999999995,-0.9457679129244372,C
Storm,Duelist,Gold,0.0125,0.5575,0.2602548127681292,B
Black Widow,Duelist,Gold,0.0087,0.4106,-1.629857380354406,D
Human Torch,Duelist,Gold,0.0049,0.4772,-0.8664900784766734,C
Cloak & Dagger,Strategist,Platinum,0.2821,0.5033,1.3337663886461055,S
Invisible Woman,Strategist,Platinum,0.1844,0.488,0.45082849868269864,A
